installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
31,3331,390423,0uegOgAsjDrBLfn4efvx1O,吊点加强钢筋_B3:吊点加强钢筋_B3:710263,710263,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
32,3411,391335,0uegOgAsjDrBLfn4efvx4i,吊点加强钢筋_B3:吊点加强钢筋_B3:710403,710403,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
33,3329,390399,0uegOgAsjDrBLfn4efvx1Q,吊点加强钢筋_B3:吊点加强钢筋_B3:710261,710261,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
34,3409,391311,0uegOgAsjDrBLfn4efvx4k,吊点加强钢筋_B3:吊点加强钢筋_B3:710401,710401,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
35,3269,389042,0uegOgAsjDrBLfn4efvx9x,吊点加强钢筋_B3:吊点加强钢筋_B3:709716,709716,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
36,3271,389066,0uegOgAsjDrBLfn4efvxBW,吊点加强钢筋_B3:吊点加强钢筋_B3:709839,709839,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
37,3349,390627,0uegOgAsjDrBLfn4efvx20,吊点加强钢筋_B3:吊点加强钢筋_B3:710319,710319,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
38,3351,390651,0uegOgAsjDrBLfn4efvx2U,吊点加强钢筋_B3:吊点加强钢筋_B3:710321,710321,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
39,3270,389054,0uegOgAsjDrBLfn4efvx9D,吊点加强钢筋_B3:吊点加强钢筋_B3:709730,709730,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
40,3268,387705,0uegOgAsjDrBLfn4efvxLy,吊点加强钢筋_B3:吊点加强钢筋_B3:709459,709459,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
41,3350,390639,0uegOgAsjDrBLfn4efvx2V,吊点加强钢筋_B3:吊点加强钢筋_B3:710320,710320,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
42,3348,390615,0uegOgAsjDrBLfn4efvx21,吊点加强钢筋_B3:吊点加强钢筋_B3:710318,710318,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
43,3308,390159,0uegOgAsjDrBLfn4efvx1w,吊点加强钢筋_B3:吊点加强钢筋_B3:710229,710229,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
44,3388,391071,0uegOgAsjDrBLfn4efvx36,吊点加强钢筋_B3:吊点加强钢筋_B3:710377,710377,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
