installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
747,1008,150263,0b6PArLq5FShymH3s4v1GA,主梁钢筋_N3:主梁钢筋_N3:629219,629219,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
748,1011,150296,0b6PArLq5FShymH3s4v1G0,主梁钢筋_N3:主梁钢筋_N3:629225,629225,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
749,1012,150307,0b6PArLq5FShymH3s4v1G2,主梁钢筋_N3:主梁钢筋_N3:629227,629227,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
750,1014,150329,0b6PArLq5FShymH3s4v1GP,主梁钢筋_N3:主梁钢筋_N3:629232,629232,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
751,1015,150340,0b6PArLq5FShymH3s4v1GR,主梁钢筋_N3:主梁钢筋_N3:629234,629234,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
752,1013,150318,0b6PArLq5FShymH3s4v1G7,主梁钢筋_N3:主梁钢筋_N3:629230,629230,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
753,1016,150351,0b6PArLq5FShymH3s4v1GT,主梁钢筋_N3:主梁钢筋_N3:629236,629236,3404.91726,8.00000,0.00000000;0.00000000;-1.00000000,0
754,290,112202,03ROboBXj84foxBMwZdex_,主梁钢筋_N10:主梁钢筋_N10:622420,622420,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
755,317,130258,03ROboBXj84foxBMwZddFM,主梁钢筋_N10:主梁钢筋_N10:623228,623228,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
756,1097,179781,0b6PArLq5FShymH3s4v2lh,主梁钢筋_N13:主梁钢筋_N13:632322,632322,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
757,1076,171205,0b6PArLq5FShymH3s4v2Wi,主梁钢筋_N13:主梁钢筋_N13:632261,632261,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
758,1096,179770,0b6PArLq5FShymH3s4v2lf,主梁钢筋_N13:主梁钢筋_N13:632320,632320,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
759,1075,171194,0b6PArLq5FShymH3s4v2XO,主梁钢筋_N13:主梁钢筋_N13:632241,632241,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
760,1095,179759,0b6PArLq5FShymH3s4v2WN,主梁钢筋_N13:主梁钢筋_N13:632318,632318,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
761,1072,165592,0b6PArLq5FShymH3s4v2px,主梁钢筋_N13:主梁钢筋_N13:631058,631058,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
762,1094,179748,0b6PArLq5FShymH3s4v2WL,主梁钢筋_N13:主梁钢筋_N13:632316,632316,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
763,1071,165581,0b6PArLq5FShymH3s4v2pc,主梁钢筋_N13:主梁钢筋_N13:631055,631055,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
764,1093,179737,0b6PArLq5FShymH3s4v2WJ,主梁钢筋_N13:主梁钢筋_N13:632314,632314,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
765,1070,165570,0b6PArLq5FShymH3s4v2pb,主梁钢筋_N13:主梁钢筋_N13:631052,631052,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
766,1092,179726,0b6PArLq5FShymH3s4v2WH,主梁钢筋_N13:主梁钢筋_N13:632312,632312,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
767,1069,165559,0b6PArLq5FShymH3s4v2pW,主梁钢筋_N13:主梁钢筋_N13:631049,631049,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
768,1091,179715,0b6PArLq5FShymH3s4v2WV,主梁钢筋_N13:主梁钢筋_N13:632310,632310,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
769,1068,165548,0b6PArLq5FShymH3s4v2pl,主梁钢筋_N13:主梁钢筋_N13:631046,631046,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
770,1090,179704,0b6PArLq5FShymH3s4v2WT,主梁钢筋_N13:主梁钢筋_N13:632308,632308,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
771,1067,165537,0b6PArLq5FShymH3s4v2pg,主梁钢筋_N13:主梁钢筋_N13:631043,631043,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
772,1089,179693,0b6PArLq5FShymH3s4v2WR,主梁钢筋_N13:主梁钢筋_N13:632306,632306,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
773,1066,165526,0b6PArLq5FShymH3s4v2qH,主梁钢筋_N13:主梁钢筋_N13:631032,631032,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
774,1017,153140,0b6PArLq5FShymH3s4v1R$,主梁钢筋_N13:主梁钢筋_N13:629526,629526,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
775,1088,179682,0b6PArLq5FShymH3s4v2WP,主梁钢筋_N13:主梁钢筋_N13:632304,632304,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
776,1098,179792,0b6PArLq5FShymH3s4v2lj,主梁钢筋_N13:主梁钢筋_N13:632324,632324,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
777,1077,173994,0b6PArLq5FShymH3s4v2Wu,主梁钢筋_N13:主梁钢筋_N13:632273,632273,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
778,1099,179803,0b6PArLq5FShymH3s4v2ll,主梁钢筋_N13:主梁钢筋_N13:632326,632326,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
779,1078,174005,0b6PArLq5FShymH3s4v2Ww,主梁钢筋_N13:主梁钢筋_N13:632275,632275,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
780,1100,179814,0b6PArLq5FShymH3s4v2lX,主梁钢筋_N13:主梁钢筋_N13:632328,632328,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
781,1079,174016,0b6PArLq5FShymH3s4v2Wy,主梁钢筋_N13:主梁钢筋_N13:632277,632277,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
782,1101,179825,0b6PArLq5FShymH3s4v2lZ,主梁钢筋_N13:主梁钢筋_N13:632330,632330,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
783,1080,174027,0b6PArLq5FShymH3s4v2W_,主梁钢筋_N13:主梁钢筋_N13:632279,632279,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
784,1102,179836,0b6PArLq5FShymH3s4v2lb,主梁钢筋_N13:主梁钢筋_N13:632332,632332,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
785,1081,174038,0b6PArLq5FShymH3s4v2Wm,主梁钢筋_N13:主梁钢筋_N13:632281,632281,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
786,1103,179847,0b6PArLq5FShymH3s4v2ld,主梁钢筋_N13:主梁钢筋_N13:632334,632334,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
787,1082,174049,0b6PArLq5FShymH3s4v2Wo,主梁钢筋_N13:主梁钢筋_N13:632283,632283,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
788,1104,179858,0b6PArLq5FShymH3s4v2lv,主梁钢筋_N13:主梁钢筋_N13:632336,632336,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
789,1083,174060,0b6PArLq5FShymH3s4v2Wq,主梁钢筋_N13:主梁钢筋_N13:632285,632285,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
790,1105,179869,0b6PArLq5FShymH3s4v2lx,主梁钢筋_N13:主梁钢筋_N13:632338,632338,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
791,1086,179660,0b6PArLq5FShymH3s4v2WA,主梁钢筋_N13:主梁钢筋_N13:632291,632291,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
792,1106,179880,0b6PArLq5FShymH3s4v2lz,主梁钢筋_N13:主梁钢筋_N13:632340,632340,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
793,1087,179671,0b6PArLq5FShymH3s4v2WC,主梁钢筋_N13:主梁钢筋_N13:632293,632293,4517.95007,6.00000,0.00000000;0.00000000;-1.00000000,0
794,289,112191,03ROboBXj84foxBMwZdexX,主梁钢筋_N10:主梁钢筋_N10:622411,622411,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
795,316,130247,03ROboBXj84foxBMwZddFG,主梁钢筋_N10:主梁钢筋_N10:623226,623226,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
796,288,112180,03ROboBXj84foxBMwZdexk,主梁钢筋_N10:主梁钢筋_N10:622404,622404,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
797,315,130236,03ROboBXj84foxBMwZddFI,主梁钢筋_N10:主梁钢筋_N10:623224,623224,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
798,3107,372664,0CGf8efXbEE8pP1ORb917V,主梁钢筋_N26a:主梁钢筋_N26a:691966,691966,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
799,3097,372554,0CGf8efXbEE8pP1ORb917w,主梁钢筋_N26a:主梁钢筋_N26a:691931,691931,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
800,3102,372609,0CGf8efXbEE8pP1ORb917L,主梁钢筋_N26a:主梁钢筋_N26a:691956,691956,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
801,3092,371033,0CGf8efXbEE8pP1ORb916P,主梁钢筋_N26a:主梁钢筋_N26a:691896,691896,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
802,287,112169,03ROboBXj84foxBMwZdewN,主梁钢筋_N10:主梁钢筋_N10:622397,622397,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
803,314,130225,03ROboBXj84foxBMwZddFS,主梁钢筋_N10:主梁钢筋_N10:623222,623222,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
804,286,112157,03ROboBXj84foxBMwZdewS,主梁钢筋_N10e:主梁钢筋_N10e:622390,622390,29096.10847,6.00000,0.00000000;0.00000000;-1.00000000,0
805,313,130214,03ROboBXj84foxBMwZddFU,主梁钢筋_N10e:主梁钢筋_N10e:623220,623220,29096.10792,6.00000,0.00000000;0.00000000;-1.00000000,0
806,3106,372653,0CGf8efXbEE8pP1ORb917T,主梁钢筋_N26a:主梁钢筋_N26a:691964,691964,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
807,3096,372543,0CGf8efXbEE8pP1ORb917u,主梁钢筋_N26a:主梁钢筋_N26a:691929,691929,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
808,3101,372598,0CGf8efXbEE8pP1ORb917J,主梁钢筋_N26a:主梁钢筋_N26a:691954,691954,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
809,3091,371022,0CGf8efXbEE8pP1ORb9167,主梁钢筋_N26a:主梁钢筋_N26a:691878,691878,2440.09546,8.00000,0.00000000;0.00000000;-1.00000000,0
810,1887,239536,30PFXlq2zChewjB6bEVlAj,主梁钢筋_N10g:主梁钢筋_N10g:661735,661735,781.83441,6.00000,0.00000000;0.00000000;-1.00000000,0
811,1891,240993,30PFXlq2zChewjB6bEVlC$,主梁钢筋_N10g:主梁钢筋_N10g:661877,661877,781.83441,6.00000,0.00000000;0.00000000;-1.00000000,0
812,1885,236621,30PFXlq2zChewjB6bEVlAQ,主梁钢筋_N10f:主梁钢筋_N10f:661712,661712,994.63685,6.00000,0.00000000;0.00000000;-1.00000000,0
813,1889,240971,30PFXlq2zChewjB6bEVlCv,主梁钢筋_N10f:主梁钢筋_N10f:661875,661875,994.63685,6.00000,0.00000000;0.00000000;-1.00000000,0
814,1886,238113,30PFXlq2zChewjB6bEVlAO,主梁钢筋_N10f:主梁钢筋_N10f:661714,661714,994.63685,6.00000,0.00000000;0.00000000;-1.00000000,0
815,1890,240982,30PFXlq2zChewjB6bEVlC_,主梁钢筋_N10f:主梁钢筋_N10f:661876,661876,994.63685,6.00000,0.00000000;0.00000000;-1.00000000,0
816,1888,240960,30PFXlq2zChewjB6bEVlAY,主梁钢筋_N10g:主梁钢筋_N10g:661736,661736,781.83441,6.00000,0.00000000;0.00000000;-1.00000000,0
817,1892,241004,30PFXlq2zChewjB6bEVlCy,主梁钢筋_N10g:主梁钢筋_N10g:661878,661878,781.83441,6.00000,0.00000000;0.00000000;-1.00000000,0
818,304,116179,03ROboBXj84foxBMwZdevY,主梁钢筋_N10:主梁钢筋_N10:622536,622536,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
819,331,134234,03ROboBXj84foxBMwZddCo,主梁钢筋_N10:主梁钢筋_N10:623256,623256,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
820,285,99988,03ROboBXj84foxBMwZdewr,主梁钢筋_N10:主梁钢筋_N10:622367,622367,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
821,312,118045,03ROboBXj84foxBMwZddFO,主梁钢筋_N10:主梁钢筋_N10:623218,623218,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
822,2392,286874,3PpqhBPkD87Rcsb8SRKiw7,主梁钢筋_N18:主梁钢筋_N18:680164,680164,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
823,2398,286940,3PpqhBPkD87Rcsb8SRKiw8,主梁钢筋_N18:主梁钢筋_N18:680171,680171,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
824,2404,287006,3PpqhBPkD87Rcsb8SRKiwH,主梁钢筋_N18:主梁钢筋_N18:680178,680178,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
825,2410,287072,3PpqhBPkD87Rcsb8SRKiwQ,主梁钢筋_N18:主梁钢筋_N18:680185,680185,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
826,2416,287138,3PpqhBPkD87Rcsb8SRKizZ,主梁钢筋_N18:主梁钢筋_N18:680192,680192,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
827,2422,287204,3PpqhBPkD87Rcsb8SRKiza,主梁钢筋_N18:主梁钢筋_N18:680199,680199,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
828,2428,287270,3PpqhBPkD87Rcsb8SRKizj,主梁钢筋_N18:主梁钢筋_N18:680206,680206,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
829,2434,287336,3PpqhBPkD87Rcsb8SRKizs,主梁钢筋_N18:主梁钢筋_N18:680213,680213,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
830,2440,287402,3PpqhBPkD87Rcsb8SRKiz$,主梁钢筋_N18:主梁钢筋_N18:680220,680220,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
831,2446,287468,3PpqhBPkD87Rcsb8SRKiz0,主梁钢筋_N18:主梁钢筋_N18:680227,680227,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
832,2452,287534,3PpqhBPkD87Rcsb8SRKiz9,主梁钢筋_N18:主梁钢筋_N18:680234,680234,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
833,2458,287600,3PpqhBPkD87Rcsb8SRKizI,主梁钢筋_N18:主梁钢筋_N18:680241,680241,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
834,2464,287666,3PpqhBPkD87Rcsb8SRKizR,主梁钢筋_N18:主梁钢筋_N18:680248,680248,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
835,2470,287732,3PpqhBPkD87Rcsb8SRKizS,主梁钢筋_N18:主梁钢筋_N18:680255,680255,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
836,2476,287798,3PpqhBPkD87Rcsb8SRKiyb,主梁钢筋_N18:主梁钢筋_N18:680262,680262,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
837,2482,287864,3PpqhBPkD87Rcsb8SRKiyk,主梁钢筋_N18:主梁钢筋_N18:680269,680269,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
838,2488,287930,3PpqhBPkD87Rcsb8SRKiyt,主梁钢筋_N18:主梁钢筋_N18:680276,680276,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
839,2494,287996,3PpqhBPkD87Rcsb8SRKiy$,主梁钢筋_N18:主梁钢筋_N18:680284,680284,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
840,2500,288062,3PpqhBPkD87Rcsb8SRKiy7,主梁钢筋_N18:主梁钢筋_N18:680292,680292,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
841,2506,288128,3PpqhBPkD87Rcsb8SRKiyF,主梁钢筋_N18:主梁钢筋_N18:680300,680300,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
842,2512,288194,3PpqhBPkD87Rcsb8SRKiyN,主梁钢筋_N18:主梁钢筋_N18:680308,680308,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
843,2518,288260,3PpqhBPkD87Rcsb8SRKiyV,主梁钢筋_N18:主梁钢筋_N18:680316,680316,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
844,2524,288326,3PpqhBPkD87Rcsb8SRKi$d,主梁钢筋_N18:主梁钢筋_N18:680324,680324,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
845,2107,276155,3PpqhBPkD87Rcsb8SRKl4L,主梁钢筋_N18:主梁钢筋_N18:679798,679798,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
846,2101,276089,3PpqhBPkD87Rcsb8SRKl4E,主梁钢筋_N18:主梁钢筋_N18:679789,679789,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
847,2095,276023,3PpqhBPkD87Rcsb8SRKl47,主梁钢筋_N18:主梁钢筋_N18:679780,679780,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
848,2089,275957,3PpqhBPkD87Rcsb8SRKl4u,主梁钢筋_N18:主梁钢筋_N18:679771,679771,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
849,2083,275891,3PpqhBPkD87Rcsb8SRKl4n,主梁钢筋_N18:主梁钢筋_N18:679762,679762,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
850,2077,275825,3PpqhBPkD87Rcsb8SRKl5H,主梁钢筋_N18:主梁钢筋_N18:679730,679730,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
851,2071,275759,3PpqhBPkD87Rcsb8SRKl0k,主梁钢筋_N18:主梁钢筋_N18:679501,679501,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
852,2065,275693,3PpqhBPkD87Rcsb8SRKl0c,主梁钢筋_N18:主梁钢筋_N18:679493,679493,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
853,2059,275627,3PpqhBPkD87Rcsb8SRKl1U,主梁钢筋_N18:主梁钢筋_N18:679485,679485,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
854,2053,275561,3PpqhBPkD87Rcsb8SRKl1M,主梁钢筋_N18:主梁钢筋_N18:679477,679477,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
855,2047,275495,3PpqhBPkD87Rcsb8SRKl1E,主梁钢筋_N18:主梁钢筋_N18:679469,679469,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
856,2041,275429,3PpqhBPkD87Rcsb8SRKl16,主梁钢筋_N18:主梁钢筋_N18:679461,679461,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
857,2035,275363,3PpqhBPkD87Rcsb8SRKl1_,主梁钢筋_N18:主梁钢筋_N18:679453,679453,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
858,2029,275297,3PpqhBPkD87Rcsb8SRKl1s,主梁钢筋_N18:主梁钢筋_N18:679445,679445,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
859,2023,275231,3PpqhBPkD87Rcsb8SRKl1k,主梁钢筋_N18:主梁钢筋_N18:679437,679437,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
860,2017,275165,3PpqhBPkD87Rcsb8SRKl1c,主梁钢筋_N18:主梁钢筋_N18:679429,679429,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
861,2011,275099,3PpqhBPkD87Rcsb8SRKlEU,主梁钢筋_N18:主梁钢筋_N18:679421,679421,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
862,2005,275033,3PpqhBPkD87Rcsb8SRKlEM,主梁钢筋_N18:主梁钢筋_N18:679413,679413,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
863,1999,274967,3PpqhBPkD87Rcsb8SRKlEE,主梁钢筋_N18:主梁钢筋_N18:679405,679405,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
864,1993,274901,3PpqhBPkD87Rcsb8SRKlE6,主梁钢筋_N18:主梁钢筋_N18:679397,679397,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
865,1987,274835,3PpqhBPkD87Rcsb8SRKlE_,主梁钢筋_N18:主梁钢筋_N18:679389,679389,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
866,1981,274769,3PpqhBPkD87Rcsb8SRKlFO,主梁钢筋_N18:主梁钢筋_N18:679355,679355,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
867,1968,265818,3PpqhBPkD87Rcsb8SRKk6r,主梁钢筋_N18:主梁钢筋_N18:675798,675798,507.39338,6.00000,0.00000000;0.00000000;-1.00000000,0
868,2386,286808,3PpqhBPkD87Rcsb8SRKiw$,主梁钢筋_N18:主梁钢筋_N18:680156,680156,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
869,2380,286742,3PpqhBPkD87Rcsb8SRKiwt,主梁钢筋_N18:主梁钢筋_N18:680148,680148,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
870,2374,286676,3PpqhBPkD87Rcsb8SRKiwl,主梁钢筋_N18:主梁钢筋_N18:680140,680140,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
871,2368,286610,3PpqhBPkD87Rcsb8SRKiwd,主梁钢筋_N18:主梁钢筋_N18:680132,680132,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
872,2362,286544,3PpqhBPkD87Rcsb8SRKixV,主梁钢筋_N18:主梁钢筋_N18:680124,680124,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
873,2356,286478,3PpqhBPkD87Rcsb8SRKixN,主梁钢筋_N18:主梁钢筋_N18:680116,680116,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
874,2350,286412,3PpqhBPkD87Rcsb8SRKixF,主梁钢筋_N18:主梁钢筋_N18:680108,680108,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
875,2344,286346,3PpqhBPkD87Rcsb8SRKix6,主梁钢筋_N18:主梁钢筋_N18:680101,680101,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
876,2338,286280,3PpqhBPkD87Rcsb8SRKixz,主梁钢筋_N18:主梁钢筋_N18:680094,680094,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
877,2332,286214,3PpqhBPkD87Rcsb8SRKixq,主梁钢筋_N18:主梁钢筋_N18:680087,680087,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
878,2326,286148,3PpqhBPkD87Rcsb8SRKixp,主梁钢筋_N18:主梁钢筋_N18:680080,680080,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
879,2320,286082,3PpqhBPkD87Rcsb8SRKixg,主梁钢筋_N18:主梁钢筋_N18:680073,680073,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
880,2314,286016,3PpqhBPkD87Rcsb8SRKixX,主梁钢筋_N18:主梁钢筋_N18:680066,680066,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
881,2308,285950,3PpqhBPkD87Rcsb8SRKiuO,主梁钢筋_N18:主梁钢筋_N18:680059,680059,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
882,2302,285884,3PpqhBPkD87Rcsb8SRKiuN,主梁钢筋_N18:主梁钢筋_N18:680052,680052,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
883,2296,285818,3PpqhBPkD87Rcsb8SRKiuE,主梁钢筋_N18:主梁钢筋_N18:680045,680045,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
884,2290,285752,3PpqhBPkD87Rcsb8SRKiu5,主梁钢筋_N18:主梁钢筋_N18:680038,680038,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
885,2284,285686,3PpqhBPkD87Rcsb8SRKiuy,主梁钢筋_N18:主梁钢筋_N18:680031,680031,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
886,2278,285620,3PpqhBPkD87Rcsb8SRKiux,主梁钢筋_N18:主梁钢筋_N18:680024,680024,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
887,2272,285554,3PpqhBPkD87Rcsb8SRKiuo,主梁钢筋_N18:主梁钢筋_N18:680017,680017,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
888,2266,285488,3PpqhBPkD87Rcsb8SRKiuf,主梁钢筋_N18:主梁钢筋_N18:680010,680010,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
889,2260,285422,3PpqhBPkD87Rcsb8SRKiuW,主梁钢筋_N18:主梁钢筋_N18:680003,680003,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
890,2254,285356,3PpqhBPkD87Rcsb8SRKivV,主梁钢筋_N18:主梁钢筋_N18:679996,679996,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
891,2113,280027,3PpqhBPkD87Rcsb8SRKl7W,主梁钢筋_N18:主梁钢筋_N18:679811,679811,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
892,2119,283871,3PpqhBPkD87Rcsb8SRKl7f,主梁钢筋_N18:主梁钢筋_N18:679818,679818,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
893,2125,283937,3PpqhBPkD87Rcsb8SRKl7o,主梁钢筋_N18:主梁钢筋_N18:679825,679825,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
894,2131,284003,3PpqhBPkD87Rcsb8SRKl7x,主梁钢筋_N18:主梁钢筋_N18:679832,679832,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
895,2137,284069,3PpqhBPkD87Rcsb8SRKl7y,主梁钢筋_N18:主梁钢筋_N18:679839,679839,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
896,2143,284135,3PpqhBPkD87Rcsb8SRKl75,主梁钢筋_N18:主梁钢筋_N18:679846,679846,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
897,2149,284201,3PpqhBPkD87Rcsb8SRKl7E,主梁钢筋_N18:主梁钢筋_N18:679853,679853,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
898,2155,284267,3PpqhBPkD87Rcsb8SRKl7N,主梁钢筋_N18:主梁钢筋_N18:679860,679860,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
899,2161,284333,3PpqhBPkD87Rcsb8SRKl7O,主梁钢筋_N18:主梁钢筋_N18:679867,679867,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
900,2167,284399,3PpqhBPkD87Rcsb8SRKl6X,主梁钢筋_N18:主梁钢筋_N18:679874,679874,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
901,2173,284465,3PpqhBPkD87Rcsb8SRKl6g,主梁钢筋_N18:主梁钢筋_N18:679881,679881,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
902,2179,284531,3PpqhBPkD87Rcsb8SRKl6p,主梁钢筋_N18:主梁钢筋_N18:679888,679888,507.39317,6.00000,0.00000000;0.00000000;-1.00000000,0
